system:index,fa,ia,.geo
0_1474,1.197238564491272,1.5085933208465576,"{""type"":""Point"",""coordinates"":[-42.487524023635245,-15.386601692746877]}"
0_1522,0.43827930092811584,1.2447593212127686,"{""type"":""Point"",""coordinates"":[22.78770828187182,4.74496476085702]}"
0_1533,2.1423323154449463,1.705254077911377,"{""type"":""Point"",""coordinates"":[-43.24371973254598,-19.30009931652522]}"
0_1601,0.22731339931488037,1.3642635345458984,"{""type"":""Point"",""coordinates"":[-65.18780127814506,6.724014279507629]}"
0_1654,1.2020162343978882,1.0755324363708496,"{""type"":""Point"",""coordinates"":[-103.20818585832946,18.38308076411996]}"
0_1690,1.9093568325042725,0.9923906326293945,"{""type"":""Point"",""coordinates"":[-43.47529049592408,-18.445638567142627]}"
0_1721,2.426896572113037,1.6556531190872192,"{""type"":""Point"",""coordinates"":[-97.0555386140583,20.13289068781206]}"
0_1735,2.210358142852783,2.2298738956451416,"{""type"":""Point"",""coordinates"":[-72.57576059054969,5.319005063616833]}"
0_1739,1.2851166725158691,0.7683822512626648,"{""type"":""Point"",""coordinates"":[-7.7374280914672475,4.941029570356647]}"
0_1797,1.4736573696136475,1.0942384004592896,"{""type"":""Point"",""coordinates"":[-99.30138012765362,22.527365462761132]}"
0_1799,0.5991767644882202,0.7502092719078064,"{""type"":""Point"",""coordinates"":[10.4366120921913,2.944165702229527]}"
0_1956,1.8371082544326782,1.0835936069488525,"{""type"":""Point"",""coordinates"":[-75.172046269941,3.355170010895166]}"
0_1963,1.3271772861480713,1.5140972137451172,"{""type"":""Point"",""coordinates"":[-44.43256216212988,-22.59256257815732]}"
0_1994,1.9555732011795044,0.7571563720703125,"{""type"":""Point"",""coordinates"":[7.878689943136305,5.834842114809461]}"
0_2005,0.6397017240524292,1.7112884521484375,"{""type"":""Point"",""coordinates"":[-75.08319848929096,-9.065693696166923]}"
0_2031,0.6555896997451782,0.935140073299408,"{""type"":""Point"",""coordinates"":[-60.17335497253457,2.45298353607257]}"
0_2050,0.4741859436035156,0.9859668612480164,"{""type"":""Point"",""coordinates"":[-76.91374124128716,7.371686328178448]}"
0_2085,1.354796290397644,0.9123091101646423,"{""type"":""Point"",""coordinates"":[12.981688338020264,-3.760772669728656]}"
0_2134,1.4384571313858032,2.3960652351379395,"{""type"":""Point"",""coordinates"":[-85.72496502038769,14.54761994709367]}"
0_2167,0.2743999660015106,0.9264876246452332,"{""type"":""Point"",""coordinates"":[-55.825782843510495,-3.139563308624419]}"
0_2194,1.3496360778808594,1.406389594078064,"{""type"":""Point"",""coordinates"":[-63.019789018059534,-17.165806844863138]}"
0_2247,0.1752932220697403,0.9794989824295044,"{""type"":""Point"",""coordinates"":[-63.75190449620168,-15.61441752390075]}"
0_2271,1.9185394048690796,1.4092001914978027,"{""type"":""Point"",""coordinates"":[-70.48541849454313,19.45669791388108]}"
0_2307,0.24605730175971985,0.7705380320549011,"{""type"":""Point"",""coordinates"":[-51.304032706763984,0.35669029600100655]}"
0_2333,2.1494643688201904,0.7910698652267456,"{""type"":""Point"",""coordinates"":[5.236390628088237,6.473020389759533]}"
