system:index,ia,va,.geo
0_833,1.3602598905563354,0.4888530969619751,"{""type"":""Point"",""coordinates"":[-51.39361656256836,-10.10487048493083]}"
0_841,1.2128090858459473,0.32685887813568115,"{""type"":""Point"",""coordinates"":[-50.50694530798807,-24.315060925586614]}"
0_886,0.8016116619110107,1.1066014766693115,"{""type"":""Point"",""coordinates"":[-79.85521794422593,-1.653935420406816]}"
0_887,0.7898625731468201,0.35485872626304626,"{""type"":""Point"",""coordinates"":[-90.42097041841299,33.13702087212381]}"
0_905,1.223635196685791,0.8994197845458984,"{""type"":""Point"",""coordinates"":[-39.422656797399966,-8.08031923184519]}"
0_931,1.2321561574935913,1.0843199491500854,"{""type"":""Point"",""coordinates"":[-41.00561358176608,-6.310071292450152]}"
0_940,2.2718112468719482,0.5051090121269226,"{""type"":""Point"",""coordinates"":[-63.098684708470955,-17.881049076873335]}"
0_957,1.3183163404464722,0.8398951292037964,"{""type"":""Point"",""coordinates"":[-73.0244610271212,2.4886956817736223]}"
0_1006,1.1091091632843018,1.0863115787506104,"{""type"":""Point"",""coordinates"":[-46.57010770572203,-3.0563950185742685]}"
0_1031,0.7564058303833008,0.8330805897712708,"{""type"":""Point"",""coordinates"":[-69.98235560009277,7.947102230216868]}"
0_1056,0.7058756351470947,0.532392144203186,"{""type"":""Point"",""coordinates"":[16.988687251852348,-1.832612159491252]}"
0_1074,0.7134718894958496,0.4323577582836151,"{""type"":""Point"",""coordinates"":[-107.18566595180987,24.29968437662394]}"
0_1116,1.1754528284072876,0.6747017502784729,"{""type"":""Point"",""coordinates"":[-36.628333348007686,-6.629450061751454]}"
0_1136,0.8705610632896423,0.7461588382720947,"{""type"":""Point"",""coordinates"":[-51.822888191054695,-2.8233867467703844]}"
0_1145,0.7413380146026611,1.004899263381958,"{""type"":""Point"",""coordinates"":[-38.580889505517035,-3.9823813153575673]}"
0_1147,0.653317928314209,0.3398204743862152,"{""type"":""Point"",""coordinates"":[-63.137275109667605,-12.432247488633266]}"
0_1176,0.9725291132926941,0.966772198677063,"{""type"":""Point"",""coordinates"":[-50.0651196739313,-5.200241240157903]}"
0_1192,0.7235741019248962,0.2577377259731293,"{""type"":""Point"",""coordinates"":[-65.18665927536051,-11.550387534627513]}"
0_1208,1.8407249450683594,0.4466612637042999,"{""type"":""Point"",""coordinates"":[-51.86213517756245,-23.589976671703415]}"
0_1212,0.7899526357650757,1.3084070682525635,"{""type"":""Point"",""coordinates"":[-8.717412920898537,6.3924100787480596]}"
0_1215,0.9919503927230835,0.8924045562744141,"{""type"":""Point"",""coordinates"":[14.625879446639857,7.31762936984876]}"
0_1222,1.385391116142273,0.724289059638977,"{""type"":""Point"",""coordinates"":[21.65375805789622,4.184565305030515]}"
0_1251,1.3107911348342896,0.5232118964195251,"{""type"":""Point"",""coordinates"":[-44.50923323409741,-22.759930902111027]}"
0_1265,1.1782581806182861,1.2115833759307861,"{""type"":""Point"",""coordinates"":[-73.59443472217067,2.7771802237557774]}"
0_1277,0.7264288067817688,1.1747632026672363,"{""type"":""Point"",""coordinates"":[-87.76112814700686,13.450654611210716]}"
0_1324,1.2038906812667847,0.39226680994033813,"{""type"":""Point"",""coordinates"":[-43.45137339801128,-16.21108842108191]}"
0_1343,1.1979637145996094,0.9729194045066833,"{""type"":""Point"",""coordinates"":[-51.85437183242517,-29.176429250419158]}"
0_1356,0.7464928030967712,1.1013718843460083,"{""type"":""Point"",""coordinates"":[-9.513358902554504,5.536342400322117]}"
0_1392,0.7199256420135498,0.7604438662528992,"{""type"":""Point"",""coordinates"":[-10.917309553748133,8.253415210564407]}"
0_1393,0.7980076670646667,0.5917704701423645,"{""type"":""Point"",""coordinates"":[-60.33911632191774,-13.984500093249078]}"
0_1402,0.9702207446098328,0.6939014196395874,"{""type"":""Point"",""coordinates"":[-80.00167485104996,-4.693367889612559]}"
0_1411,0.7275943756103516,0.6788172125816345,"{""type"":""Point"",""coordinates"":[-59.79056618006265,-14.792398060985905]}"
0_1421,1.415452480316162,0.6063631772994995,"{""type"":""Point"",""coordinates"":[14.231488878067418,-0.4569739978485165]}"
0_1430,1.5201860666275024,0.8179000616073608,"{""type"":""Point"",""coordinates"":[-39.591388718283,-15.189725557242904]}"
0_1454,0.7077168226242065,0.4677462577819824,"{""type"":""Point"",""coordinates"":[-80.56444810992002,34.77348493145875]}"
0_1464,0.6577544808387756,0.45090243220329285,"{""type"":""Point"",""coordinates"":[-63.440901289555036,-12.29911941249573]}"
0_1465,1.6602482795715332,0.8014695644378662,"{""type"":""Point"",""coordinates"":[-50.886748212416734,-26.621115634349827]}"
0_1474,1.5085933208465576,0.8123688101768494,"{""type"":""Point"",""coordinates"":[-42.487524023635245,-15.386601692746877]}"
0_1496,2.034226894378662,1.3658499717712402,"{""type"":""Point"",""coordinates"":[-40.38778765572844,-10.669651142665895]}"
0_1499,0.7363513112068176,0.4424842596054077,"{""type"":""Point"",""coordinates"":[-56.14137103224219,-10.751441513465457]}"
0_1516,1.596823811531067,1.506292700767517,"{""type"":""Point"",""coordinates"":[-41.02224665942409,-8.158427680970222]}"
0_1522,1.2447593212127686,0.6971992254257202,"{""type"":""Point"",""coordinates"":[22.78770828187182,4.74496476085702]}"
