system:index,fr,ir,.geo
0_639,0.49779942631721497,0.16334941983222961,"{""type"":""Point"",""coordinates"":[-71.86064036746201,-12.227030421864352]}"
0_684,0.28547754883766174,0.11689165234565735,"{""type"":""Point"",""coordinates"":[-77.39291592472628,-6.263633701742751]}"
0_726,0.3337651193141937,0.18308188021183014,"{""type"":""Point"",""coordinates"":[-77.57566297761265,2.044678450614831]}"
0_792,0.2087964117527008,0.0948421061038971,"{""type"":""Point"",""coordinates"":[-3.699923654646928,7.278260360596473]}"
0_800,0.20441918075084686,0.19939619302749634,"{""type"":""Point"",""coordinates"":[-52.190257436577255,-28.618608177896917]}"
0_803,0.6001607775688171,0.17573468387126923,"{""type"":""Point"",""coordinates"":[-57.34692231854492,-14.313913841644558]}"
0_957,1.3670005798339844,0.162054643034935,"{""type"":""Point"",""coordinates"":[-73.0244610271212,2.4886956817736223]}"
0_993,0.2986285090446472,0.2746213674545288,"{""type"":""Point"",""coordinates"":[-4.03201287888984,6.418360633763552]}"
0_1031,0.14757972955703735,0.10373562574386597,"{""type"":""Point"",""coordinates"":[-69.98235560009277,7.947102230216868]}"
0_1056,0.45302310585975647,0.10632961988449097,"{""type"":""Point"",""coordinates"":[16.988687251852348,-1.832612159491252]}"
0_1104,0.5328627824783325,0.15255743265151978,"{""type"":""Point"",""coordinates"":[-79.07574261714177,-3.730379634669602]}"
0_1147,1.4110783338546753,0.17516636848449707,"{""type"":""Point"",""coordinates"":[-63.137275109667605,-12.432247488633266]}"
0_1177,0.16888487339019775,0.17393893003463745,"{""type"":""Point"",""coordinates"":[-46.1421519593604,-21.603957548812893]}"
0_1192,0.5821790099143982,0.16588127613067627,"{""type"":""Point"",""coordinates"":[-65.18665927536051,-11.550387534627513]}"
0_1193,0.5175049901008606,0.162054643034935,"{""type"":""Point"",""coordinates"":[-58.7304510449664,-3.1215936109851596]}"
0_1208,0.42316046357154846,0.10858915001153946,"{""type"":""Point"",""coordinates"":[-51.86213517756245,-23.589976671703415]}"
0_1212,0.5658956170082092,0.1164139062166214,"{""type"":""Point"",""coordinates"":[-8.717412920898537,6.3924100787480596]}"
0_1222,0.3186770975589752,0.10660653561353683,"{""type"":""Point"",""coordinates"":[21.65375805789622,4.184565305030515]}"
0_1265,0.5821790099143982,0.18039776384830475,"{""type"":""Point"",""coordinates"":[-73.59443472217067,2.7771802237557774]}"
0_1285,0.341854065656662,0.15271468460559845,"{""type"":""Point"",""coordinates"":[-4.695563500006546,6.009037223224123]}"
0_1324,0.17668990790843964,0.13776135444641113,"{""type"":""Point"",""coordinates"":[-43.45137339801128,-16.21108842108191]}"
0_1343,0.15791770815849304,0.2112201452255249,"{""type"":""Point"",""coordinates"":[-51.85437183242517,-29.176429250419158]}"
0_1356,0.4658793807029724,0.21621133387088776,"{""type"":""Point"",""coordinates"":[-9.513358902554504,5.536342400322117]}"
0_1393,0.9379980564117432,0.1748378723859787,"{""type"":""Point"",""coordinates"":[-60.33911632191774,-13.984500093249078]}"
0_1411,1.0097113847732544,0.17563962936401367,"{""type"":""Point"",""coordinates"":[-59.79056618006265,-14.792398060985905]}"
0_1421,0.44208842515945435,0.18668347597122192,"{""type"":""Point"",""coordinates"":[14.231488878067418,-0.4569739978485165]}"
0_1474,0.19852907955646515,0.13776135444641113,"{""type"":""Point"",""coordinates"":[-42.487524023635245,-15.386601692746877]}"
0_1637,0.3999916911125183,0.13224084675312042,"{""type"":""Point"",""coordinates"":[-55.34112290985044,-26.369455659439964]}"
0_1662,0.5360967516899109,0.1658705472946167,"{""type"":""Point"",""coordinates"":[-72.48800700987368,-11.656484856972696]}"
0_1739,0.9030229449272156,0.15544167160987854,"{""type"":""Point"",""coordinates"":[-7.7374280914672475,4.941029570356647]}"
0_1792,0.583775520324707,0.1164139062166214,"{""type"":""Point"",""coordinates"":[-58.015116422596016,-3.0601863765293946]}"
0_1799,0.5412613153457642,0.1348298043012619,"{""type"":""Point"",""coordinates"":[10.4366120921913,2.944165702229527]}"
0_2031,0.30242276191711426,0.1739947497844696,"{""type"":""Point"",""coordinates"":[-60.17335497253457,2.45298353607257]}"
