system:index,va,vr,.geo
0_3918,0.442668080329895,0.15801289677619934,"{""type"":""Point"",""coordinates"":[-63.58219437746446,-17.732056561081]}"
0_3922,1.1338595151901245,0.09146331995725632,"{""type"":""Point"",""coordinates"":[-46.72689426409312,-3.9593190803333225]}"
0_3924,1.3342671394348145,0.25780588388442993,"{""type"":""Point"",""coordinates"":[-93.37944456357289,16.68863248081319]}"
0_4016,0.3665589988231659,0.5046991109848022,"{""type"":""Point"",""coordinates"":[-98.74483929814674,18.32159071424905]}"
0_4019,1.3867602348327637,0.2018776834011078,"{""type"":""Point"",""coordinates"":[-72.980675028626,9.562387799829347]}"
0_4046,0.8828771114349365,0.0843774676322937,"{""type"":""Point"",""coordinates"":[-52.710561851147865,-3.0239238078445116]}"
0_4051,0.44069886207580566,0.11248040199279785,"{""type"":""Point"",""coordinates"":[-37.41363030569717,-5.881709200043379]}"
0_4113,0.9699426293373108,0.147335022687912,"{""type"":""Point"",""coordinates"":[-8.150128149243798,6.013508839450738]}"
0_4132,1.2146670818328857,0.36137881875038147,"{""type"":""Point"",""coordinates"":[11.780182521779103,4.042101934146785]}"
0_4140,0.5469049215316772,0.9570844769477844,"{""type"":""Point"",""coordinates"":[-51.79812843796407,0.7287805948314471]}"
0_4146,1.0402402877807617,0.2025366574525833,"{""type"":""Point"",""coordinates"":[-75.50216586332746,1.336755422088179]}"
0_4152,1.5648785829544067,0.34421074390411377,"{""type"":""Point"",""coordinates"":[-78.48908407035923,-5.8458491726769894]}"
0_4155,0.9210404753684998,0.12460509687662125,"{""type"":""Point"",""coordinates"":[-50.55281348023329,-18.821234376697685]}"
0_4160,0.5989747643470764,0.11826831102371216,"{""type"":""Point"",""coordinates"":[17.6187251141969,4.076227397284397]}"
0_4163,1.4580729007720947,0.1123332530260086,"{""type"":""Point"",""coordinates"":[-45.974340185598045,-3.7859651998880106]}"
0_4295,1.1270816326141357,0.5823618769645691,"{""type"":""Point"",""coordinates"":[-101.78390747873715,18.034391457240464]}"
0_4305,1.1202483177185059,0.3395247459411621,"{""type"":""Point"",""coordinates"":[19.45843138315632,2.3489182012942367]}"
0_4347,0.5256528854370117,0.2048734724521637,"{""type"":""Point"",""coordinates"":[-73.86114339509619,-12.434274283050415]}"
0_4376,0.4715205132961273,0.0916440486907959,"{""type"":""Point"",""coordinates"":[-56.54612087974751,-10.476152507454792]}"
0_4382,0.9456067085266113,0.10754844546318054,"{""type"":""Point"",""coordinates"":[-79.82627070810162,22.333044341388266]}"
0_4406,0.44217053055763245,0.09941268712282181,"{""type"":""Point"",""coordinates"":[-57.16194667692444,-11.048387439997366]}"
0_4426,0.3946380913257599,0.24098096787929535,"{""type"":""Point"",""coordinates"":[-51.11294971065152,-21.163435714935822]}"
0_4445,1.6764882802963257,0.11518437415361404,"{""type"":""Point"",""coordinates"":[-37.975216623826796,-7.891379838510319]}"
0_4453,1.1730481386184692,0.10822540521621704,"{""type"":""Point"",""coordinates"":[-36.60876688087857,-8.211344936555179]}"
0_4459,0.469078004360199,0.11823656409978867,"{""type"":""Point"",""coordinates"":[-54.84067538172123,-9.54429947090634]}"
0_4503,0.679120659828186,0.3362998962402344,"{""type"":""Point"",""coordinates"":[-59.65525007375471,4.19399095584633]}"
0_4534,0.7336305379867554,0.2479005604982376,"{""type"":""Point"",""coordinates"":[-38.60670993510561,-12.604340701160778]}"
0_4535,0.7180196046829224,0.1679760068655014,"{""type"":""Point"",""coordinates"":[-44.756670386771944,-20.88040515715589]}"
