system:index,ir,va,.geo
0_4347,0.11302673816680908,0.5256528854370117,"{""type"":""Point"",""coordinates"":[-73.86114339509619,-12.434274283050415]}"
0_4376,0.17563962936401367,0.4715205132961273,"{""type"":""Point"",""coordinates"":[-56.54612087974751,-10.476152507454792]}"
0_4382,0.1045018881559372,0.9456067085266113,"{""type"":""Point"",""coordinates"":[-79.82627070810162,22.333044341388266]}"
0_4406,0.17563962936401367,0.44217053055763245,"{""type"":""Point"",""coordinates"":[-57.16194667692444,-11.048387439997366]}"
0_4454,0.1658770740032196,0.709847092628479,"{""type"":""Point"",""coordinates"":[-51.308668937161755,3.7998200431526206]}"
0_4459,0.17563962936401367,0.469078004360199,"{""type"":""Point"",""coordinates"":[-54.84067538172123,-9.54429947090634]}"
0_4503,0.17573468387126923,0.679120659828186,"{""type"":""Point"",""coordinates"":[-59.65525007375471,4.19399095584633]}"
0_4535,0.1745651513338089,0.7180196046829224,"{""type"":""Point"",""coordinates"":[-44.756670386771944,-20.88040515715589]}"
0_4562,0.11601380258798599,0.9452429413795471,"{""type"":""Point"",""coordinates"":[14.95940923315133,-1.0610243289525962]}"
0_4567,0.10586641728878021,1.2130215167999268,"{""type"":""Point"",""coordinates"":[-44.80030259278346,-4.551566473918913]}"
0_4574,0.16588127613067627,0.32763931155204773,"{""type"":""Point"",""coordinates"":[-51.19619287660373,2.4943774754384043]}"
0_4586,0.0965174213051796,0.43881869316101074,"{""type"":""Point"",""coordinates"":[-10.954586629412542,6.85201989586116]}"
0_4623,0.10355082154273987,1.0202499628067017,"{""type"":""Point"",""coordinates"":[-54.66582700290687,-26.96587475217042]}"
0_4647,0.15137235820293427,0.6222435832023621,"{""type"":""Point"",""coordinates"":[-53.60154268006002,-2.1222482913533725]}"
0_4652,0.09925242513418198,0.6866418719291687,"{""type"":""Point"",""coordinates"":[-10.891308279510197,7.480121736596807]}"
0_4655,0.16165854036808014,0.9017737507820129,"{""type"":""Point"",""coordinates"":[10.187337519497273,-0.14952600559362314]}"
0_4683,0.1195039302110672,0.516054093837738,"{""type"":""Point"",""coordinates"":[-75.17026579586513,-11.173343621826026]}"
0_4699,0.13776135444641113,0.295487642288208,"{""type"":""Point"",""coordinates"":[-61.70031778974278,-16.01355582426069]}"
0_4702,0.1658770740032196,0.5598649978637695,"{""type"":""Point"",""coordinates"":[-51.03854502118254,-2.3193909227926732]}"
0_4721,0.22252701222896576,0.9419255256652832,"{""type"":""Point"",""coordinates"":[-60.20885882925886,-1.9504609672544784]}"
0_4722,0.10712588578462601,1.1696629524230957,"{""type"":""Point"",""coordinates"":[-77.27561605564114,18.259937764228237]}"
0_4735,0.15764562785625458,0.21421141922473907,"{""type"":""Point"",""coordinates"":[-55.660895356681316,-12.0301762488694]}"
0_4736,0.2291582077741623,0.688281238079071,"{""type"":""Point"",""coordinates"":[-50.93720098104367,-20.148312853377703]}"
0_4756,0.09808934479951859,1.232001543045044,"{""type"":""Point"",""coordinates"":[-87.72966357151023,14.878748985108464]}"
0_4810,0.15236184000968933,0.6751927733421326,"{""type"":""Point"",""coordinates"":[-47.55693676451862,-9.294307146839328]}"
0_4902,0.10121651738882065,0.39578011631965637,"{""type"":""Point"",""coordinates"":[18.249396939081322,2.566778594216302]}"
0_4912,0.12321408092975616,0.7129106521606445,"{""type"":""Point"",""coordinates"":[24.04834165452986,3.7066533647616686]}"
0_4993,0.23721762001514435,0.5551105737686157,"{""type"":""Point"",""coordinates"":[21.72083348964027,1.0045348413030377]}"
0_5001,0.16525357961654663,0.421030730009079,"{""type"":""Point"",""coordinates"":[-63.277871938492055,6.14080141519268]}"
0_5027,0.1658770740032196,0.9051308035850525,"{""type"":""Point"",""coordinates"":[-55.713848296701784,-26.080384708142287]}"
0_5097,0.23356300592422485,0.657220721244812,"{""type"":""Point"",""coordinates"":[-88.32425811105244,13.299715029686116]}"
0_5159,0.16591493785381317,0.6439997553825378,"{""type"":""Point"",""coordinates"":[-55.442096448131245,-6.293366684080501]}"
0_5180,0.17563962936401367,0.41977640986442566,"{""type"":""Point"",""coordinates"":[-63.50440619492226,-16.3173805641573]}"
0_5185,0.09183002263307571,0.8507331013679504,"{""type"":""Point"",""coordinates"":[-70.45900219793988,10.291253709497107]}"
