system:index,ia,vr,.geo
0_3682,0.6572865843772888,0.25383472442626953,"{""type"":""Point"",""coordinates"":[-85.09519205146916,33.7304343056687]}"
0_3743,2.045485734939575,0.2314205765724182,"{""type"":""Point"",""coordinates"":[-70.65624875498659,9.7368877164025]}"
0_3783,2.016601800918579,0.10874282568693161,"{""type"":""Point"",""coordinates"":[-57.29469799911744,-14.388791492884607]}"
0_3813,0.7305023074150085,0.10981496423482895,"{""type"":""Point"",""coordinates"":[-90.42989624488071,19.448203458717696]}"
0_3871,0.7423819899559021,0.10779602825641632,"{""type"":""Point"",""coordinates"":[-81.96908131613024,33.73044879370322]}"
0_3873,1.8703683614730835,0.36771032214164734,"{""type"":""Point"",""coordinates"":[-75.95646564305498,-8.825057216946442]}"
0_3889,2.0008673667907715,0.3161422610282898,"{""type"":""Point"",""coordinates"":[-42.18575188948576,-20.68726100837161]}"
0_3918,1.7120201587677002,0.15801289677619934,"{""type"":""Point"",""coordinates"":[-63.58219437746446,-17.732056561081]}"
0_3922,0.6957957148551941,0.09146331995725632,"{""type"":""Point"",""coordinates"":[-46.72689426409312,-3.9593190803333225]}"
0_3924,1.0425422191619873,0.25780588388442993,"{""type"":""Point"",""coordinates"":[-93.37944456357289,16.68863248081319]}"
0_4016,0.9463638663291931,0.5046991109848022,"{""type"":""Point"",""coordinates"":[-98.74483929814674,18.32159071424905]}"
0_4046,1.2325286865234375,0.0843774676322937,"{""type"":""Point"",""coordinates"":[-52.710561851147865,-3.0239238078445116]}"
0_4051,0.6513213515281677,0.11248040199279785,"{""type"":""Point"",""coordinates"":[-37.41363030569717,-5.881709200043379]}"
0_4094,0.9456933736801147,0.1225607618689537,"{""type"":""Point"",""coordinates"":[-104.27098711365382,29.0153248224092]}"
0_4113,0.8597514629364014,0.147335022687912,"{""type"":""Point"",""coordinates"":[-8.150128149243798,6.013508839450738]}"
0_4132,1.2608850002288818,0.36137881875038147,"{""type"":""Point"",""coordinates"":[11.780182521779103,4.042101934146785]}"
0_4140,0.8016814589500427,0.9570844769477844,"{""type"":""Point"",""coordinates"":[-51.79812843796407,0.7287805948314471]}"
0_4146,2.048128366470337,0.2025366574525833,"{""type"":""Point"",""coordinates"":[-75.50216586332746,1.336755422088179]}"
