system:index,fa,ir,.geo
0_2398,1.3496360778808594,0.15118174254894257,"{""type"":""Point"",""coordinates"":[-49.52884241519525,-8.12739134036414]}"
0_2498,1.0846446752548218,0.12321408092975616,"{""type"":""Point"",""coordinates"":[-55.94038694068526,-22.627825585240725]}"
0_2508,0.5537218451499939,0.15236184000968933,"{""type"":""Point"",""coordinates"":[-60.634567203901355,-15.512193070285738]}"
0_2541,1.3412222862243652,0.46019449830055237,"{""type"":""Point"",""coordinates"":[-75.37969983134992,5.842329466306883]}"
0_2551,0.21703247725963593,0.17303931713104248,"{""type"":""Point"",""coordinates"":[11.461446410297642,1.0313948797421337]}"
0_2656,0.31382009387016296,0.15764562785625458,"{""type"":""Point"",""coordinates"":[-65.69621477668613,7.091168533110809]}"
0_2730,0.5310976505279541,0.17303594946861267,"{""type"":""Point"",""coordinates"":[-83.86530366760974,10.401011333436898]}"
0_2763,2.1732563972473145,0.1122603490948677,"{""type"":""Point"",""coordinates"":[-98.755928724249,16.893022617725006]}"
0_2785,0.3651517927646637,0.19536158442497253,"{""type"":""Point"",""coordinates"":[17.91817756375242,0.11728208554248688]}"
0_2804,0.5459839105606079,0.23417603969573975,"{""type"":""Point"",""coordinates"":[-50.424985657959965,-26.470936430980192]}"
0_2848,0.5411447286605835,0.15236184000968933,"{""type"":""Point"",""coordinates"":[-58.80013351075712,-17.241177167091053]}"
0_2881,0.14164023101329803,0.16470886766910553,"{""type"":""Point"",""coordinates"":[-52.35787691023208,-2.072853982162959]}"
0_2935,0.6109840273857117,0.16527636349201202,"{""type"":""Point"",""coordinates"":[-50.29656327958681,-1.2435520768799844]}"
0_2941,2.933373212814331,0.09571950137615204,"{""type"":""Point"",""coordinates"":[-86.8545520103455,13.684832577896026]}"
0_3017,0.46935248374938965,0.1989002376794815,"{""type"":""Point"",""coordinates"":[-77.44078251391706,-0.008746116698565905]}"
0_3019,0.6120330691337585,0.1774187684059143,"{""type"":""Point"",""coordinates"":[-53.856338441998545,-26.120252422287347]}"
0_3207,1.865155816078186,0.10786241292953491,"{""type"":""Point"",""coordinates"":[-81.18309325251779,8.357020228742467]}"
0_3263,0.5880365967750549,0.14209294319152832,"{""type"":""Point"",""coordinates"":[-47.284949290858414,-1.2332823573580383]}"
0_3316,1.3814479112625122,0.09420064091682434,"{""type"":""Point"",""coordinates"":[-67.4677995297167,-16.545600931082316]}"
0_3398,2.1843905448913574,0.09636381268501282,"{""type"":""Point"",""coordinates"":[-92.5140904032908,17.56698256300876]}"
