system:index,fr,vr,.geo
0_2586,0.44881176948547363,0.2669406235218048,"{""type"":""Point"",""coordinates"":[-11.929557456577639,8.460564811714558]}"
0_2656,0.3646288216114044,0.10236057639122009,"{""type"":""Point"",""coordinates"":[-65.69621477668613,7.091168533110809]}"
0_2728,0.0817471444606781,0.3434878885746002,"{""type"":""Point"",""coordinates"":[-94.39929516611872,16.658100875887794]}"
0_2730,0.2240019589662552,0.18980629742145538,"{""type"":""Point"",""coordinates"":[-83.86530366760974,10.401011333436898]}"
0_2763,0.18450172245502472,0.5912915468215942,"{""type"":""Point"",""coordinates"":[-98.755928724249,16.893022617725006]}"
0_2785,0.45336195826530457,0.1413705199956894,"{""type"":""Point"",""coordinates"":[17.91817756375242,0.11728208554248688]}"
0_2804,1.3522605895996094,0.11027555167675018,"{""type"":""Point"",""coordinates"":[-50.424985657959965,-26.470936430980192]}"
0_2881,0.4855601191520691,0.09795235842466354,"{""type"":""Point"",""coordinates"":[-52.35787691023208,-2.072853982162959]}"
0_2922,0.2588597238063812,0.11697402596473694,"{""type"":""Point"",""coordinates"":[-41.63398206638998,-5.114230629195298]}"
0_2938,0.15643854439258575,1.3650662899017334,"{""type"":""Point"",""coordinates"":[-87.83967648117205,14.243675940426899]}"
0_2958,0.1884443312883377,0.09595988690853119,"{""type"":""Point"",""coordinates"":[-42.81661844877082,-7.9563335611990205]}"
0_2980,0.18388210237026215,0.12260366976261139,"{""type"":""Point"",""coordinates"":[-8.537122634675082,8.043141424932408]}"
0_3017,0.44603484869003296,0.13863925635814667,"{""type"":""Point"",""coordinates"":[-77.44078251391706,-0.008746116698565905]}"
0_3019,0.30060914158821106,0.1056424155831337,"{""type"":""Point"",""coordinates"":[-53.856338441998545,-26.120252422287347]}"
0_3207,0.3098407983779907,0.11968913674354553,"{""type"":""Point"",""coordinates"":[-81.18309325251779,8.357020228742467]}"
0_3235,0.19729699194431305,0.11408478766679764,"{""type"":""Point"",""coordinates"":[-85.62873705486464,12.57146662749358]}"
0_3295,1.2987273931503296,0.14677774906158447,"{""type"":""Point"",""coordinates"":[-45.80500521880425,-2.1513772805196374]}"
0_3312,0.08694189786911011,0.5613092184066772,"{""type"":""Point"",""coordinates"":[-108.66749382015018,33.43018367535134]}"
0_3398,0.08862687647342682,0.19170168042182922,"{""type"":""Point"",""coordinates"":[-92.5140904032908,17.56698256300876]}"
0_3401,0.1650228202342987,0.7109416723251343,"{""type"":""Point"",""coordinates"":[-88.68709818139992,14.484197325196991]}"
0_3407,0.5835157036781311,0.20223964750766754,"{""type"":""Point"",""coordinates"":[-65.05225249739841,5.260786466613584]}"
0_3462,0.30955106019973755,0.17274080216884613,"{""type"":""Point"",""coordinates"":[-83.06271596144775,8.916087997087926]}"
0_3481,0.3884839117527008,0.5625131726264954,"{""type"":""Point"",""coordinates"":[-74.47893074903683,-9.60584836426627]}"
0_3489,0.65204256772995,0.1253966987133026,"{""type"":""Point"",""coordinates"":[-50.09501465820328,0.17624457314534442]}"
0_3570,0.16508714854717255,0.11688055098056793,"{""type"":""Point"",""coordinates"":[-43.016112174406196,-9.2625503118427]}"
0_3585,0.2117203176021576,0.10588626563549042,"{""type"":""Point"",""coordinates"":[-61.4774672529079,7.043964003161699]}"
0_3608,0.22151191532611847,0.13604456186294556,"{""type"":""Point"",""coordinates"":[-47.43570279707829,-9.265948568214082]}"
0_3622,0.938338577747345,0.1654951125383377,"{""type"":""Point"",""coordinates"":[-64.34256834893027,-16.461363765679238]}"
0_3633,0.13099004328250885,0.23941902816295624,"{""type"":""Point"",""coordinates"":[-71.78891321906437,8.547417783641189]}"
0_3645,0.08044254779815674,0.5774981379508972,"{""type"":""Point"",""coordinates"":[-73.17860112714051,9.790359757435327]}"
0_3652,0.2951542139053345,0.3837888240814209,"{""type"":""Point"",""coordinates"":[-3.03813341058362,6.442844948306417]}"
0_3668,0.5410317778587341,0.568630576133728,"{""type"":""Point"",""coordinates"":[26.810973710245083,0.7051072969555986]}"
0_3743,0.2017820179462433,0.2314205765724182,"{""type"":""Point"",""coordinates"":[-70.65624875498659,9.7368877164025]}"
0_3783,0.6563971638679504,0.10874282568693161,"{""type"":""Point"",""coordinates"":[-57.29469799911744,-14.388791492884607]}"
0_3830,0.3160921037197113,0.42378854751586914,"{""type"":""Point"",""coordinates"":[-100.01777670077955,19.142243967575272]}"
0_3873,0.6388732194900513,0.36771032214164734,"{""type"":""Point"",""coordinates"":[-75.95646564305498,-8.825057216946442]}"
0_3889,0.20394083857536316,0.3161422610282898,"{""type"":""Point"",""coordinates"":[-42.18575188948576,-20.68726100837161]}"
0_3918,0.6222296953201294,0.15801289677619934,"{""type"":""Point"",""coordinates"":[-63.58219437746446,-17.732056561081]}"
0_3922,1.4069324731826782,0.09146331995725632,"{""type"":""Point"",""coordinates"":[-46.72689426409312,-3.9593190803333225]}"
