system:index,fr,va,.geo
0_1031,0.14757972955703735,0.8330805897712708,"{""type"":""Point"",""coordinates"":[-69.98235560009277,7.947102230216868]}"
0_1056,0.45302310585975647,0.532392144203186,"{""type"":""Point"",""coordinates"":[16.988687251852348,-1.832612159491252]}"
0_1104,0.5328627824783325,1.1178680658340454,"{""type"":""Point"",""coordinates"":[-79.07574261714177,-3.730379634669602]}"
0_1145,0.16283513605594635,1.004899263381958,"{""type"":""Point"",""coordinates"":[-38.580889505517035,-3.9823813153575673]}"
0_1147,1.4110783338546753,0.3398204743862152,"{""type"":""Point"",""coordinates"":[-63.137275109667605,-12.432247488633266]}"
0_1177,0.16888487339019775,0.9214245080947876,"{""type"":""Point"",""coordinates"":[-46.1421519593604,-21.603957548812893]}"
0_1192,0.5821790099143982,0.2577377259731293,"{""type"":""Point"",""coordinates"":[-65.18665927536051,-11.550387534627513]}"
0_1193,0.5175049901008606,0.8945278525352478,"{""type"":""Point"",""coordinates"":[-58.7304510449664,-3.1215936109851596]}"
0_1208,0.42316046357154846,0.4466612637042999,"{""type"":""Point"",""coordinates"":[-51.86213517756245,-23.589976671703415]}"
0_1212,0.5658956170082092,1.3084070682525635,"{""type"":""Point"",""coordinates"":[-8.717412920898537,6.3924100787480596]}"
0_1215,0.2094583809375763,0.8924045562744141,"{""type"":""Point"",""coordinates"":[14.625879446639857,7.31762936984876]}"
0_1222,0.3186770975589752,0.724289059638977,"{""type"":""Point"",""coordinates"":[21.65375805789622,4.184565305030515]}"
0_1251,0.3194034695625305,0.5232118964195251,"{""type"":""Point"",""coordinates"":[-44.50923323409741,-22.759930902111027]}"
0_1265,0.5821790099143982,1.2115833759307861,"{""type"":""Point"",""coordinates"":[-73.59443472217067,2.7771802237557774]}"
0_1268,0.23967045545578003,0.31325724720954895,"{""type"":""Point"",""coordinates"":[-75.10519614912343,-11.155138766669872]}"
0_1282,0.3942645490169525,1.1225030422210693,"{""type"":""Point"",""coordinates"":[-52.43600891524875,-1.4888660588392246]}"
0_1324,0.17668990790843964,0.39226680994033813,"{""type"":""Point"",""coordinates"":[-43.45137339801128,-16.21108842108191]}"
0_1343,0.15791770815849304,0.9729194045066833,"{""type"":""Point"",""coordinates"":[-51.85437183242517,-29.176429250419158]}"
0_1356,0.4658793807029724,1.1013718843460083,"{""type"":""Point"",""coordinates"":[-9.513358902554504,5.536342400322117]}"
0_1392,0.5890048146247864,0.7604438662528992,"{""type"":""Point"",""coordinates"":[-10.917309553748133,8.253415210564407]}"
0_1393,0.9379980564117432,0.5917704701423645,"{""type"":""Point"",""coordinates"":[-60.33911632191774,-13.984500093249078]}"
0_1402,0.17886163294315338,0.6939014196395874,"{""type"":""Point"",""coordinates"":[-80.00167485104996,-4.693367889612559]}"
0_1411,1.0097113847732544,0.6788172125816345,"{""type"":""Point"",""coordinates"":[-59.79056618006265,-14.792398060985905]}"
0_1421,0.44208842515945435,0.6063631772994995,"{""type"":""Point"",""coordinates"":[14.231488878067418,-0.4569739978485165]}"
