system:index,fr,ia,.geo
0_2719,0.8758789896965027,2.0383121967315674,"{""type"":""Point"",""coordinates"":[-75.9180297421939,-6.855137036158686]}"
0_2728,0.0817471444606781,1.034575343132019,"{""type"":""Point"",""coordinates"":[-94.39929516611872,16.658100875887794]}"
0_2730,0.2240019589662552,2.1944620609283447,"{""type"":""Point"",""coordinates"":[-83.86530366760974,10.401011333436898]}"
0_2763,0.18450172245502472,1.0371687412261963,"{""type"":""Point"",""coordinates"":[-98.755928724249,16.893022617725006]}"
0_2785,0.45336195826530457,0.6558916568756104,"{""type"":""Point"",""coordinates"":[17.91817756375242,0.11728208554248688]}"
0_2804,1.3522605895996094,1.7134194374084473,"{""type"":""Point"",""coordinates"":[-50.424985657959965,-26.470936430980192]}"
0_2848,0.2159048318862915,0.9561566114425659,"{""type"":""Point"",""coordinates"":[-58.80013351075712,-17.241177167091053]}"
0_2922,0.2588597238063812,0.705668568611145,"{""type"":""Point"",""coordinates"":[-41.63398206638998,-5.114230629195298]}"
0_2938,0.15643854439258575,1.128228783607483,"{""type"":""Point"",""coordinates"":[-87.83967648117205,14.243675940426899]}"
0_2946,0.45410406589508057,0.7316561341285706,"{""type"":""Point"",""coordinates"":[-60.936914038732375,0.8395926311384179]}"
0_2958,0.1884443312883377,0.7157734632492065,"{""type"":""Point"",""coordinates"":[-42.81661844877082,-7.9563335611990205]}"
0_2980,0.18388210237026215,1.0903189182281494,"{""type"":""Point"",""coordinates"":[-8.537122634675082,8.043141424932408]}"
0_3019,0.30060914158821106,2.2778708934783936,"{""type"":""Point"",""coordinates"":[-53.856338441998545,-26.120252422287347]}"
0_3052,0.4711647033691406,1.084076166152954,"{""type"":""Point"",""coordinates"":[28.360247673382705,-2.244720211925798]}"
0_3121,0.13544365763664246,1.7801575660705566,"{""type"":""Point"",""coordinates"":[-40.94775920936375,-17.477387436058677]}"
0_3207,0.3098407983779907,0.7199256420135498,"{""type"":""Point"",""coordinates"":[-81.18309325251779,8.357020228742467]}"
0_3235,0.19729699194431305,1.7769261598587036,"{""type"":""Point"",""coordinates"":[-85.62873705486464,12.57146662749358]}"
