system:index,fa,fr,.geo
0_2467,1.3131123781204224,0.45336195826530457,"{""type"":""Point"",""coordinates"":[10.857830714718201,1.9481048431035526]}"
0_2468,1.7841334342956543,0.23207344114780426,"{""type"":""Point"",""coordinates"":[-98.63959166512251,20.984468947613728]}"
0_2489,1.205497145652771,0.1862589418888092,"{""type"":""Point"",""coordinates"":[-75.10066946579977,-11.189699398130422]}"
0_2491,3.0289204120635986,0.34784796833992004,"{""type"":""Point"",""coordinates"":[11.088106878459447,6.915479509529949]}"
0_2498,1.0846446752548218,0.23322515189647675,"{""type"":""Point"",""coordinates"":[-55.94038694068526,-22.627825585240725]}"
0_2508,0.5537218451499939,0.231787770986557,"{""type"":""Point"",""coordinates"":[-60.634567203901355,-15.512193070285738]}"
0_2519,2.3666257858276367,0.30452433228492737,"{""type"":""Point"",""coordinates"":[-97.00376819984339,19.54060284623389]}"
0_2541,1.3412222862243652,0.21797116100788116,"{""type"":""Point"",""coordinates"":[-75.37969983134992,5.842329466306883]}"
0_2551,0.21703247725963593,0.7163611054420471,"{""type"":""Point"",""coordinates"":[11.461446410297642,1.0313948797421337]}"
0_2647,1.3885753154754639,0.5015353560447693,"{""type"":""Point"",""coordinates"":[-44.82933887030117,-2.6642774070684467]}"
0_2656,0.31382009387016296,0.3646288216114044,"{""type"":""Point"",""coordinates"":[-65.69621477668613,7.091168533110809]}"
0_2685,1.0618844032287598,0.37911456823349,"{""type"":""Point"",""coordinates"":[-101.21302025926798,19.600099211738634]}"
0_2728,1.0401105880737305,0.0817471444606781,"{""type"":""Point"",""coordinates"":[-94.39929516611872,16.658100875887794]}"
0_2730,0.5310976505279541,0.2240019589662552,"{""type"":""Point"",""coordinates"":[-83.86530366760974,10.401011333436898]}"
0_2763,2.1732563972473145,0.18450172245502472,"{""type"":""Point"",""coordinates"":[-98.755928724249,16.893022617725006]}"
0_2785,0.3651517927646637,0.45336195826530457,"{""type"":""Point"",""coordinates"":[17.91817756375242,0.11728208554248688]}"
0_2804,0.5459839105606079,1.3522605895996094,"{""type"":""Point"",""coordinates"":[-50.424985657959965,-26.470936430980192]}"
0_2848,0.5411447286605835,0.2159048318862915,"{""type"":""Point"",""coordinates"":[-58.80013351075712,-17.241177167091053]}"
0_2881,0.14164023101329803,0.4855601191520691,"{""type"":""Point"",""coordinates"":[-52.35787691023208,-2.072853982162959]}"
0_2922,2.6808829307556152,0.2588597238063812,"{""type"":""Point"",""coordinates"":[-41.63398206638998,-5.114230629195298]}"
0_2935,0.6109840273857117,0.5108336210250854,"{""type"":""Point"",""coordinates"":[-50.29656327958681,-1.2435520768799844]}"
0_2958,2.189913272857666,0.1884443312883377,"{""type"":""Point"",""coordinates"":[-42.81661844877082,-7.9563335611990205]}"
0_3017,0.46935248374938965,0.44603484869003296,"{""type"":""Point"",""coordinates"":[-77.44078251391706,-0.008746116698565905]}"
0_3019,0.6120330691337585,0.30060914158821106,"{""type"":""Point"",""coordinates"":[-53.856338441998545,-26.120252422287347]}"
0_3052,0.5275247097015381,0.4711647033691406,"{""type"":""Point"",""coordinates"":[28.360247673382705,-2.244720211925798]}"
0_3121,2.900606155395508,0.13544365763664246,"{""type"":""Point"",""coordinates"":[-40.94775920936375,-17.477387436058677]}"
0_3129,2.9313888549804688,0.14538927376270294,"{""type"":""Point"",""coordinates"":[-78.81196732969245,-6.01259864496766]}"
0_3207,1.865155816078186,0.3098407983779907,"{""type"":""Point"",""coordinates"":[-81.18309325251779,8.357020228742467]}"
0_3303,0.544224202632904,0.5681293606758118,"{""type"":""Point"",""coordinates"":[-74.9536577826372,-10.762714217490577]}"
0_3316,1.3814479112625122,0.6348991990089417,"{""type"":""Point"",""coordinates"":[-67.4677995297167,-16.545600931082316]}"
0_3398,2.1843905448913574,0.08862687647342682,"{""type"":""Point"",""coordinates"":[-92.5140904032908,17.56698256300876]}"
0_3462,0.6224501729011536,0.30955106019973755,"{""type"":""Point"",""coordinates"":[-83.06271596144775,8.916087997087926]}"
0_3489,0.465713769197464,0.65204256772995,"{""type"":""Point"",""coordinates"":[-50.09501465820328,0.17624457314534442]}"
0_3570,1.600085973739624,0.16508714854717255,"{""type"":""Point"",""coordinates"":[-43.016112174406196,-9.2625503118427]}"
0_3585,0.22146812081336975,0.2117203176021576,"{""type"":""Point"",""coordinates"":[-61.4774672529079,7.043964003161699]}"
0_3608,1.121840000152588,0.22151191532611847,"{""type"":""Point"",""coordinates"":[-47.43570279707829,-9.265948568214082]}"
0_3622,0.29321497678756714,0.938338577747345,"{""type"":""Point"",""coordinates"":[-64.34256834893027,-16.461363765679238]}"
0_3633,2.533444881439209,0.13099004328250885,"{""type"":""Point"",""coordinates"":[-71.78891321906437,8.547417783641189]}"
0_3645,1.2414987087249756,0.08044254779815674,"{""type"":""Point"",""coordinates"":[-73.17860112714051,9.790359757435327]}"
0_3697,0.30596935749053955,0.16539767384529114,"{""type"":""Point"",""coordinates"":[-58.173941802061876,-19.10127135241162]}"
0_3743,2.9426486492156982,0.2017820179462433,"{""type"":""Point"",""coordinates"":[-70.65624875498659,9.7368877164025]}"
0_3873,0.6196975708007812,0.6388732194900513,"{""type"":""Point"",""coordinates"":[-75.95646564305498,-8.825057216946442]}"
0_3883,2.9227728843688965,0.16326941549777985,"{""type"":""Point"",""coordinates"":[-0.3603700727702427,6.104182386994941]}"
0_3889,2.033231258392334,0.20394083857536316,"{""type"":""Point"",""coordinates"":[-42.18575188948576,-20.68726100837161]}"
0_3918,1.4168412685394287,0.6222296953201294,"{""type"":""Point"",""coordinates"":[-63.58219437746446,-17.732056561081]}"
