system:index,ia,ir,.geo
0_638,0.6909312009811401,0.165805846452713,"{""type"":""Point"",""coordinates"":[-52.11917474230217,2.5917876128679813]}"
0_726,1.7049882411956787,0.18308188021183014,"{""type"":""Point"",""coordinates"":[-77.57566297761265,2.044678450614831]}"
0_776,1.2109827995300293,0.15764562785625458,"{""type"":""Point"",""coordinates"":[-46.83459791612236,-4.015388550202881]}"
0_792,0.7401152849197388,0.0948421061038971,"{""type"":""Point"",""coordinates"":[-3.699923654646928,7.278260360596473]}"
0_800,1.7485491037368774,0.19939619302749634,"{""type"":""Point"",""coordinates"":[-52.190257436577255,-28.618608177896917]}"
0_803,2.0344157218933105,0.17573468387126923,"{""type"":""Point"",""coordinates"":[-57.34692231854492,-14.313913841644558]}"
0_833,1.3602598905563354,0.14813680946826935,"{""type"":""Point"",""coordinates"":[-51.39361656256836,-10.10487048493083]}"
0_957,1.3183163404464722,0.162054643034935,"{""type"":""Point"",""coordinates"":[-73.0244610271212,2.4886956817736223]}"
0_993,0.7774724364280701,0.2746213674545288,"{""type"":""Point"",""coordinates"":[-4.03201287888984,6.418360633763552]}"
0_1006,1.1091091632843018,0.17399102449417114,"{""type"":""Point"",""coordinates"":[-46.57010770572203,-3.0563950185742685]}"
0_1031,0.7564058303833008,0.10373562574386597,"{""type"":""Point"",""coordinates"":[-69.98235560009277,7.947102230216868]}"
0_1056,0.7058756351470947,0.10632961988449097,"{""type"":""Point"",""coordinates"":[16.988687251852348,-1.832612159491252]}"
0_1147,0.653317928314209,0.17516636848449707,"{""type"":""Point"",""coordinates"":[-63.137275109667605,-12.432247488633266]}"
0_1176,0.9725291132926941,0.17573468387126923,"{""type"":""Point"",""coordinates"":[-50.0651196739313,-5.200241240157903]}"
0_1192,0.7235741019248962,0.16588127613067627,"{""type"":""Point"",""coordinates"":[-65.18665927536051,-11.550387534627513]}"
0_1208,1.8407249450683594,0.10858915001153946,"{""type"":""Point"",""coordinates"":[-51.86213517756245,-23.589976671703415]}"
0_1212,0.7899526357650757,0.1164139062166214,"{""type"":""Point"",""coordinates"":[-8.717412920898537,6.3924100787480596]}"
0_1222,1.385391116142273,0.10660653561353683,"{""type"":""Point"",""coordinates"":[21.65375805789622,4.184565305030515]}"
0_1265,1.1782581806182861,0.18039776384830475,"{""type"":""Point"",""coordinates"":[-73.59443472217067,2.7771802237557774]}"
0_1285,0.7857323288917542,0.15271468460559845,"{""type"":""Point"",""coordinates"":[-4.695563500006546,6.009037223224123]}"
0_1324,1.2038906812667847,0.13776135444641113,"{""type"":""Point"",""coordinates"":[-43.45137339801128,-16.21108842108191]}"
0_1343,1.1979637145996094,0.2112201452255249,"{""type"":""Point"",""coordinates"":[-51.85437183242517,-29.176429250419158]}"
0_1356,0.7464928030967712,0.21621133387088776,"{""type"":""Point"",""coordinates"":[-9.513358902554504,5.536342400322117]}"
0_1393,0.7980076670646667,0.1748378723859787,"{""type"":""Point"",""coordinates"":[-60.33911632191774,-13.984500093249078]}"
0_1411,0.7275943756103516,0.17563962936401367,"{""type"":""Point"",""coordinates"":[-59.79056618006265,-14.792398060985905]}"
0_1419,0.7441600561141968,0.165805846452713,"{""type"":""Point"",""coordinates"":[-57.12394336810286,4.565814629065711]}"
0_1421,1.415452480316162,0.18668347597122192,"{""type"":""Point"",""coordinates"":[14.231488878067418,-0.4569739978485165]}"
0_1454,0.7077168226242065,0.10790396481752396,"{""type"":""Point"",""coordinates"":[-80.56444810992002,34.77348493145875]}"
0_1464,0.6577544808387756,0.16478405892848969,"{""type"":""Point"",""coordinates"":[-63.440901289555036,-12.29911941249573]}"
0_1474,1.5085933208465576,0.13776135444641113,"{""type"":""Point"",""coordinates"":[-42.487524023635245,-15.386601692746877]}"
0_1499,0.7363513112068176,0.15764562785625458,"{""type"":""Point"",""coordinates"":[-56.14137103224219,-10.751441513465457]}"
0_1601,1.3642635345458984,0.17399102449417114,"{""type"":""Point"",""coordinates"":[-65.18780127814506,6.724014279507629]}"
