system:index,ir,vr,.geo
0_792,0.0948421061038971,0.11994926631450653,"{""type"":""Point"",""coordinates"":[-3.699923654646928,7.278260360596473]}"
0_800,0.19939619302749634,0.12571796774864197,"{""type"":""Point"",""coordinates"":[-52.190257436577255,-28.618608177896917]}"
0_803,0.17573468387126923,0.16922618448734283,"{""type"":""Point"",""coordinates"":[-57.34692231854492,-14.313913841644558]}"
0_833,0.14813680946826935,0.10094507783651352,"{""type"":""Point"",""coordinates"":[-51.39361656256836,-10.10487048493083]}"
0_957,0.162054643034935,0.10538855940103531,"{""type"":""Point"",""coordinates"":[-73.0244610271212,2.4886956817736223]}"
0_993,0.2746213674545288,0.5077948570251465,"{""type"":""Point"",""coordinates"":[-4.03201287888984,6.418360633763552]}"
0_1006,0.17399102449417114,0.09230281412601471,"{""type"":""Point"",""coordinates"":[-46.57010770572203,-3.0563950185742685]}"
0_1176,0.17573468387126923,0.1548648476600647,"{""type"":""Point"",""coordinates"":[-50.0651196739313,-5.200241240157903]}"
0_1177,0.17393893003463745,0.13247692584991455,"{""type"":""Point"",""coordinates"":[-46.1421519593604,-21.603957548812893]}"
0_1193,0.162054643034935,0.09717540442943573,"{""type"":""Point"",""coordinates"":[-58.7304510449664,-3.1215936109851596]}"
0_1208,0.10858915001153946,0.11249205470085144,"{""type"":""Point"",""coordinates"":[-51.86213517756245,-23.589976671703415]}"
0_1212,0.1164139062166214,0.08089198172092438,"{""type"":""Point"",""coordinates"":[-8.717412920898537,6.3924100787480596]}"
0_1222,0.10660653561353683,0.09824730455875397,"{""type"":""Point"",""coordinates"":[21.65375805789622,4.184565305030515]}"
0_1265,0.18039776384830475,0.10889556258916855,"{""type"":""Point"",""coordinates"":[-73.59443472217067,2.7771802237557774]}"
0_1285,0.15271468460559845,0.11368047446012497,"{""type"":""Point"",""coordinates"":[-4.695563500006546,6.009037223224123]}"
0_1324,0.13776135444641113,0.10563521087169647,"{""type"":""Point"",""coordinates"":[-43.45137339801128,-16.21108842108191]}"
0_1343,0.2112201452255249,1.122522234916687,"{""type"":""Point"",""coordinates"":[-51.85437183242517,-29.176429250419158]}"
0_1356,0.21621133387088776,0.13687433302402496,"{""type"":""Point"",""coordinates"":[-9.513358902554504,5.536342400322117]}"
0_1393,0.1748378723859787,0.13220463693141937,"{""type"":""Point"",""coordinates"":[-60.33911632191774,-13.984500093249078]}"
0_1411,0.17563962936401367,0.10347136855125427,"{""type"":""Point"",""coordinates"":[-59.79056618006265,-14.792398060985905]}"
0_1421,0.18668347597122192,0.0950043648481369,"{""type"":""Point"",""coordinates"":[14.231488878067418,-0.4569739978485165]}"
0_1445,0.13776135444641113,0.3575502634048462,"{""type"":""Point"",""coordinates"":[-105.84367626799288,24.295870391219005]}"
0_1454,0.10790396481752396,0.1181444600224495,"{""type"":""Point"",""coordinates"":[-80.56444810992002,34.77348493145875]}"
0_1464,0.16478405892848969,0.1484457105398178,"{""type"":""Point"",""coordinates"":[-63.440901289555036,-12.29911941249573]}"
0_1474,0.13776135444641113,0.10341007262468338,"{""type"":""Point"",""coordinates"":[-42.487524023635245,-15.386601692746877]}"
0_1499,0.15764562785625458,0.10987822711467743,"{""type"":""Point"",""coordinates"":[-56.14137103224219,-10.751441513465457]}"
0_1601,0.17399102449417114,0.12192709743976593,"{""type"":""Point"",""coordinates"":[-65.18780127814506,6.724014279507629]}"
0_1637,0.13224084675312042,0.5045994520187378,"{""type"":""Point"",""coordinates"":[-55.34112290985044,-26.369455659439964]}"
0_1721,0.3497527241706848,0.243180513381958,"{""type"":""Point"",""coordinates"":[-97.0555386140583,20.13289068781206]}"
0_1739,0.15544167160987854,0.09586701542139053,"{""type"":""Point"",""coordinates"":[-7.7374280914672475,4.941029570356647]}"
0_1764,0.09897246211767197,0.08937983959913254,"{""type"":""Point"",""coordinates"":[-87.33812771123678,33.23688458079653]}"
0_1792,0.1164139062166214,0.11676724255084991,"{""type"":""Point"",""coordinates"":[-58.015116422596016,-3.0601863765293946]}"
0_1799,0.1348298043012619,0.1686345636844635,"{""type"":""Point"",""coordinates"":[10.4366120921913,2.944165702229527]}"
0_1956,0.09895280748605728,0.08865490555763245,"{""type"":""Point"",""coordinates"":[-75.172046269941,3.355170010895166]}"
0_1959,0.17393893003463745,0.09079992771148682,"{""type"":""Point"",""coordinates"":[-59.58372146370953,-10.136651011306057]}"
0_2031,0.1739947497844696,0.11415484547615051,"{""type"":""Point"",""coordinates"":[-60.17335497253457,2.45298353607257]}"
