"id","CEC_mean","CEC_stdDev","DriestQuartes_mean","DriestQuartes_stdDev","Longitude","NPP0010_mean","NPP0010_stdDev","NPP03_mean","NPP03_stdDev","OppCost_mean","OppCost_stdDev","PrecSeanslty_mean","PrecSeanslty_stdDev","Site","WDeficit03_mean","WDeficit03_stdDev","WDeficit8910_mean","WDeficit8910_stdDev","WDeficit99_mean","WDeficit99_stdDev","YrlPrec_mean","YrlPrec_stdDev","Buffer_Size","name","treecover2000_mean","treecover2000_stdDev"
"1_122",16.2187303990705,2.21168168833624,387.636168015149,2.22232994506552,-59.342,12751.3284480195,692.467425231315,0,0,NA,NA,36.4053623687382,0.49060110365304,121,328.441315917828,26.1909686869098,127.273304844364,8.63251806170515,51.8132101050095,3.38532515305141,210.43908524936,0.784291422208991,5,"",99.7902823205371,0.530393559924367
"1_124",24.24644490193,1.97491143813,232.859511943633,4.00343227628079,-61.125,11521.2206096018,328.156118631226,0,0,NA,NA,36.6361488228218,0.538170584216887,123,348.66648049493,6.16493806860131,158.484480209814,2.47381074844882,57.1569320329954,2.66899859646205,137.131931057786,1.99660066897816,5,"",98.3985220828321,1.31929357968603
"1_107",10.2871188412199,0.708508355024693,230.199030177079,4.82760847329489,-59,12463.0291497912,876.780339482981,0,0,NA,NA,55.4409663592674,0.811616474093636,106,297.363939761296,5.83239712482769,136.923430466504,4.29986365581412,38.7021474650388,3.19979648764587,168.974347555003,3.15523438963417,5,"",99.7984586742867,0.467621941971117
"1_91",26.4524775608546,4.14404561575423,190.020442708333,37.2438830411061,-78.683,11666.5713265467,863.35405173501,980.652517361111,3780.67137417957,4513.99034872498,1263.99566070084,53.2347222222222,1.19919057522743,90,49.942748119213,7.80962159984982,137.375690827546,20.0539236853876,85.8516167534722,16.4244812016784,155.196610864335,18.3319394861006,5,"",88.6607638888889,7.90762496110623
"1_4",47.2428763607811,5.13786317747782,339.950545643513,56.928817887977,-76.066,5215.36446436604,2475.75983788884,9100.81867145422,4999.94437774387,1978.25048096771,4368.06187820883,34.759743634159,3.94718601328459,3,40.7863690166869,1.83297999745261,28.2278763732947,1.36049385048339,11.5285019342918,3.7320642388431,175.55546979179,4.75288608710202,5,"",26.3144379005716,27.1775726656171
"1_132",20.9220881677764,3.72347825788369,111.873864999143,40.0858804138874,-70.85,9844.01974316174,1715.21936552831,8194.39069807725,8087.21751742881,9008.25054938769,4589.56494689391,39.1501199246188,9.41206814560275,131,286.267988692822,31.5231902396196,166.189177030282,32.5098950994474,47.0030980526526,14.8870795433013,76.9623951930715,13.6005319167956,5,"",86.8348466678088,11.3459003704858
"1_127",28.6964110686532,7.02526075244216,87.1642425022525,28.221156459278,-71.092,10330.0493946386,2958.53906315877,7821.52418477078,8955.42778190122,8197.64913722211,7434.99321837271,51.4018964259664,4.07580524137881,126,276.933528553654,20.2278323341242,212.353313512263,24.1271351280465,124.819596401653,15.8450167620049,98.5717167325035,18.1327013080898,5,"",58.8427511048183,32.6924081685964
"1_204",25.1293729297428,1.75414662185504,38.2201635573729,2.00936557534693,-72.675,8433.45658369584,2625.58654973642,14152.4775308163,4638.68878348629,5315.54189508446,838.535515189984,69.03211517165,2.10255673991626,211,730.410387738876,22.1230474081022,612.057965451861,28.8450846081512,425.089239571797,26.6378862754954,108.938776249394,5.92968047850311,5,"",38.4907573047108,29.6512573196153
"1_229",25.1293729297428,1.75414662185504,38.2201635573729,2.00936557534693,-72.675,8433.45658369584,2625.58654973642,14152.4775308163,4638.68878348629,5315.54189508446,838.535515189984,69.03211517165,2.10255673991626,239,730.410387738876,22.1230474081022,612.057965451861,28.8450846081512,425.089239571797,26.6378862754954,108.938776249394,5.92968047850311,5,"",38.4907573047108,29.6512573196153
"1_165",22.7356547035439,1.68411767280817,293.250961117329,18.0404473552982,-69.586,10094.8870353784,1212.69829309839,221.397783251232,862.389264282376,3897.00290052197,469.800491284313,24.5956980874982,1.40197901187154,164,55.2529387069689,3.64575586688434,93.2451915537329,5.82505333938483,111.155526295703,11.1271426840583,155.67413691406,5.9131879089289,5,"",76.6764899031358,33.056034227744
