"","CNTRY_NAME","zone","MeanCountryvert","SDCountryvert"
"63","Cuba",192,0.267286982278741,0.0726346575048312
"64","Dominica",193,0.201054459291956,0.00991904555967627
"65","Dominican Republic",194,0.255588269330899,0.032939894331072
"66","El Salvador",195,0.309332641109947,0.0957697552613844
"67","Grenada",197,0.198929419488676,0.0044786637769775
"68","Guadeloupe",198,0.212794634246923,0.0127790986136189
"69","Guatemala",199,0.309836014189199,0.123988039302309
"70","Haiti",200,0.290662875750056,0.0712548172305902
"71","Honduras",201,0.337336620235785,0.100892841556917
"72","Jamaica",205,0.165903952655155,0.0121210348943072
"73","Martinique",206,0.234623956259559,0.024668878493562
"74","Mexico",207,0.280689490661481,0.0792798704215525
"75","Montserrat",208,0.213295321965563,0.00113294666955547
"76","Nicaragua",210,0.251939553281347,0.0640500990121914
"77","Panama",212,0.261441320336082,0.0534343492898599
"78","Puerto Rico",213,0.345662714460335,0.0135341644245672
"79","St. Kitts & Nevis",216,0.213902545618076,0.00495438817635975
"80","St. Lucia",217,0.203145999338601,0.00300108823789821
"81","St. Vincent & the Grenadines",220,0.250281850248575,0.0018581204241747
"82","Sint Eustatius (Neth)",221,0.222463548183441,0
"83","The Bahamas",223,0.222548047196107,0.0558491760148055
"84","Turks & Caicos Is.",224,0.210615560095361,0.00406921039506595
"85","United States",225,0.244423558505771,0.0985216405479115
"86","British Virgin Is.",226,0.230946281552315,0.011714454281022
"87","Virgin Is.",227,0.23435783081434,0.013957087498917
"88","Australia",234,0.426356500540994,0.0682346831674305
"89","Brunei",235,0.230490781997314,0.0624412233564011
"90","Fiji",239,0.245471723520617,0.104012569582687
"91","Micronesia",240,0.350748240947723,0
"92","Indonesia",242,0.266537815064594,0.0927009904746509
"93","Malaysia",246,0.283634051507578,0.0751387282885611
"94","New Caledonia",247,0.211868780892065,0.055430065830342
"95","New Zealand",251,0.330832481823541,0.0266287542700005
"96","Papua New Guinea",253,0.258963128562215,0.100401853293232
"97","Philippines",254,0.284248995075753,0.0815375654860529
"98","Palau",256,0.16277410994034,0.00144145158456637
"99","Solomon Is.",257,0.184520174055177,0.0436277061593591
"100","Singapore",258,0.21986841460069,0.000488866340299555
"101","Timor Leste",260,0.286559871584485,0.0504836676123396
"102","Vanuatu",263,0.112579411823607,0.0239772392647418
"103","Argentina",267,0.285963040860067,0.0600714976689326
"104","Bolivia",268,0.215489932893725,0.0785345489169542
"105","Brazil",269,0.252110044941856,0.120772741839424
"106","Chile",270,0.238014138009516,0.0350215223552528
"107","Ecuador",271,0.24928875835975,0.053382797053533
"108","French Guiana",272,0.154902826976893,0.0403467750174524
"109","Guyana",274,0.291009482718794,0.117182879342189
"110","Suriname",275,0.241428772294234,0.118572773476257
"111","Paraguay",277,0.192384039112996,0.0176544218844715
"112","Peru",278,0.206224167368314,0.0770918910221679
"113","Trinidad & Tobago",280,0.163209650230369,0.0231638388329366
"114","Uruguay",283,0.510085299611092,0.000204843947766578
"115","Venezuela",284,0.26462412540724,0.0898581524184339
