value,count,class,zone,group
0.4346,1546,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.4365,5064,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.4383,3208,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.4392,21840,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.4671,3689,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.4694,6525,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.4697,45565,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.4955,24169,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.4975,38835,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.4993,60168,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.5005,48117,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.614,34667,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.6141,26342,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.7064,14490,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.716,3493,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.7946,36933,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.8248,15997,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.8254,42573,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.8272,6308,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.8298,13170,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.863,32118,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.8635,1248,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.9445,23200,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.9454,4387,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.9478,8846,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.9481,1926,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
1,3635,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.0865,2342,Tropical & Subtropical Coniferous Forests,3,Flora
0.101,17,Tropical & Subtropical Coniferous Forests,3,Flora
0.1125,12,Tropical & Subtropical Coniferous Forests,3,Flora
0.1126,228,Tropical & Subtropical Coniferous Forests,3,Flora
0.1158,10422,Tropical & Subtropical Coniferous Forests,3,Flora
0.1249,308,Tropical & Subtropical Coniferous Forests,3,Flora
0.1274,275,Tropical & Subtropical Coniferous Forests,3,Flora
0.143,683,Tropical & Subtropical Coniferous Forests,3,Flora
0.1446,1,Tropical & Subtropical Coniferous Forests,3,Flora
0.145,79188,Tropical & Subtropical Coniferous Forests,3,Flora
0.1455,55,Tropical & Subtropical Coniferous Forests,3,Flora
0.1537,45,Tropical & Subtropical Coniferous Forests,3,Flora
0.1647,5075,Tropical & Subtropical Coniferous Forests,3,Flora
0.1668,224,Tropical & Subtropical Coniferous Forests,3,Flora
0.1686,415,Tropical & Subtropical Coniferous Forests,3,Flora
0.1782,454,Tropical & Subtropical Coniferous Forests,3,Flora
0.2303,665,Tropical & Subtropical Coniferous Forests,3,Flora
0.2308,4780,Tropical & Subtropical Coniferous Forests,3,Flora
0.2323,1242,Tropical & Subtropical Coniferous Forests,3,Flora
0.2335,1814,Tropical & Subtropical Coniferous Forests,3,Flora
0.2359,3789,Tropical & Subtropical Coniferous Forests,3,Flora
0.2388,10,Tropical & Subtropical Coniferous Forests,3,Flora
0.2396,214,Tropical & Subtropical Coniferous Forests,3,Flora
0.2402,83703,Tropical & Subtropical Coniferous Forests,3,Flora
0.2516,5125,Tropical & Subtropical Coniferous Forests,3,Flora
0.2519,5065,Tropical & Subtropical Coniferous Forests,3,Flora
0.2526,2,Tropical & Subtropical Coniferous Forests,3,Flora
0.256,35,Tropical & Subtropical Coniferous Forests,3,Flora
0.2584,844,Tropical & Subtropical Coniferous Forests,3,Flora
0.259,11845,Tropical & Subtropical Coniferous Forests,3,Flora
0.2601,354,Tropical & Subtropical Coniferous Forests,3,Flora
0.2608,2018,Tropical & Subtropical Coniferous Forests,3,Flora
0.2609,1,Tropical & Subtropical Coniferous Forests,3,Flora
0.2615,2028,Tropical & Subtropical Coniferous Forests,3,Flora
0.262,37,Tropical & Subtropical Coniferous Forests,3,Flora
0.2621,836,Tropical & Subtropical Coniferous Forests,3,Flora
0.2628,703,Tropical & Subtropical Coniferous Forests,3,Flora
0.2634,373,Tropical & Subtropical Coniferous Forests,3,Flora
0.2646,398,Tropical & Subtropical Coniferous Forests,3,Flora
0.2831,2737,Tropical & Subtropical Coniferous Forests,3,Flora
0.3246,924,Tropical & Subtropical Coniferous Forests,3,Flora
0.3264,4643,Tropical & Subtropical Coniferous Forests,3,Flora
